run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260508_105249,front_50_head_lv1_007,front,head wind,Level1,drone_3,192.168.0.103,B02,3,front_3,3,8,node_segment_1,2026-05-08T10:53:10.649,20.737,2.884,65,65,0
20260508_105249,front_50_head_lv1_007,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,1,node_segment_1,2026-05-08T10:53:10.649,20.737,2.884,64,64,0
20260508_105249,front_50_head_lv1_007,front,head wind,Level1,drone_5,192.168.0.107,B04,5,front_5,5,2,node_segment_1,2026-05-08T10:53:10.649,20.737,2.884,62,62,0
20260508_105249,front_50_head_lv1_007,front,head wind,Level1,drone_1,192.168.0.101,B07,1,front_1,1,6,node_segment_1,2026-05-08T10:53:10.754,20.842,2.989,61,61,0
20260508_105249,front_50_head_lv1_007,front,head wind,Level1,drone_2,192.168.0.102,B10,2,front_2,2,7,node_segment_1,2026-05-08T10:53:10.754,20.842,2.989,65,65,0
20260508_105249,front_50_head_lv1_007,front,head wind,Level1,drone_3,192.168.0.103,B02,3,front_3,3,8,node_segment_1,2026-05-08T10:53:10.754,20.842,2.989,65,65,0
20260508_105249,front_50_head_lv1_007,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,1,node_segment_1,2026-05-08T10:53:10.754,20.842,2.989,64,64,0
20260508_105249,front_50_head_lv1_007,front,head wind,Level1,drone_5,192.168.0.107,B04,5,front_5,5,2,node_segment_1,2026-05-08T10:53:10.754,20.842,2.989,62,62,0
20260508_105249,front_50_head_lv1_007,front,head wind,Level1,drone_1,192.168.0.101,B07,1,front_1,1,6,node_segment_1,2026-05-08T10:53:10.861,20.949,3.096,61,61,0
20260508_105249,front_50_head_lv1_007,front,head wind,Level1,drone_2,192.168.0.102,B10,2,front_2,2,7,node_segment_1,2026-05-08T10:53:10.861,20.949,3.096,65,65,0
